model_row,Old_index_1,smiles,rg,asphericity,eccentricity,num_chiral_centers,num_cis_trans,rg_mw_ratio,molecular_weight,rigid_bond_ratio,rigid_bond_method
697,809,CCOc1ccc(N(c2ccc(N)cc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,5.56184974825959,0.3939031576452428,0.9621248395422118,0,0,0.010383346149376345,535.6510000000002,0.0,colleague_axial_method
698,810,CCOC(=O)/C(C#N)=C/c1ccc(N(c2ccccc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,5.960263083180666,0.3759521298828361,0.9587630030993171,0,1,0.009938840614014254,599.6940000000003,0.058823529411764705,colleague_axial_method
699,811,C(=C/c1cc(-c2ccccn2)nc(-c2ccccn2)c1)\c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,6.734447759168141,0.34811902133818406,0.9527054653204711,0,1,0.011636818143465373,578.7190000000003,0.0196078431372549,colleague_axial_method
700,812,COC(=O)c1ccc(N(c2ccc(C(=O)OC)cc2)c2ccc(-c3ccc(/C=C/c4cc(-c5ccccn5)nc(-c5ccccn5)c4)cc3)cc2)cc1,5.624532961778341,0.5118143512196822,0.9793197017092048,0,1,0.008095287592640577,694.7910000000002,0.05084745762711865,colleague_axial_method
701,813,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(-c3ccc(/C=C/c4ccc(N)cc4)cc3)cc2)cc1,8.345600822361721,0.5783046086137055,0.9855437017383676,0,1,0.015845676354449986,526.6800000000002,0.022727272727272728,colleague_axial_method
702,814,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(-c3ccc(/C=C(\C#N)c4ccc(N)cc4)cc3)cc2)cc1,7.030708082090301,0.5550900420238155,0.9836393532377888,0,1,0.01274394693050499,551.6900000000003,0.043478260869565216,colleague_axial_method
703,815,CCOC(=O)/C(C#N)=C1\C=C(/C=C/c2ccc(N(c3ccccc3)c3ccc(C=O)cc3)cc2)CC(C)(C)C1,7.061753158493393,0.5597538834201544,0.9841180471745209,0,2,0.013668588359215375,516.6410000000002,0.2619047619047619,colleague_axial_method
704,816,CC1(C)CC(/C=C/c2ccc(N(c3ccccc3)c3ccc(C=O)cc3)cc2)=CC(=C(C#N)C#N)C1,6.3460020929856915,0.5840705010707715,0.986225079266943,0,1,0.013513978408702283,469.58800000000025,0.28205128205128205,colleague_axial_method
705,817,CCOC(=O)/C(C#N)=C1\C=C(/C=C/c2ccc(N(c3ccccc3)c3ccc(/C=C/C4=C/C(=C(/C#N)C(=O)OCC)CC(C)(C)C4)cc3)cc2)CC(C)(C)C1,5.956327833047946,0.5725566807103235,0.9852407866624517,0,4,0.008137760262219218,731.9369999999998,0.3389830508474576,colleague_axial_method
706,818,CCOC(=O)/C(C#N)=C1\C=C(/C=C/c2ccc(N(c3ccc(/C=C/C4=C/C(=C(/C#N)C(=O)OCC)CC(C)(C)C4)cc3)c3ccc(/C=C/C4=C/C(=C(/C#N)C(=O)OCC)CC(C)(C)C4)cc3)cc2)CC(C)(C)C1,8.783272928158814,0.7316525595876987,0.9950473070454485,0,6,0.009006240422293539,975.2429999999996,0.6153846153846154,rdkit_fallback_after_AssertionError
707,820,CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(-c3nc4cc(-c5ccc6nc(-c7ccc(N(c8ccc(OCC)cc8)c8ccc(OCC)cc8)cc7)[nH]c6c5)ccc4[nH]3)cc2)cc1,9.359551152998911,0.24897653530859384,0.9082301981006838,0,0,0.010433212148808496,897.092,0.0,colleague_axial_method
708,821,c1ccc(N(c2ccccc2)c2ccc(-c3nc4cc(-c5ccc6nc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)[nH]c6c5)ccc4[nH]3)cc2)cc1,10.43833107817848,0.6820695058875859,0.9926364086576508,0,0,0.014479984294443565,720.8800000000002,0.0,colleague_axial_method
709,823,C(=C/c1cccnc1)\c1ccc(N(c2ccc(/C=C/c3cccnc3)cc2)c2ccc(/C=C/c3cccnc3)cc2)cc1,9.101028207636993,0.7660779304752374,0.9963650940052938,0,3,0.01640720647062629,554.6970000000002,0.0625,colleague_axial_method
710,825,CCCCOC(=O)/C=C/c1ccc(N(c2ccc(/C=C/C(=O)OCCCC)cc2)c2ccc(/C=C/C(=O)OCCCC)cc2)cc1,6.981963912433258,0.24692680568922154,0.8892007861287926,0,3,0.011192811543040538,623.7900000000001,0.125,colleague_axial_method
