样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
63,5.997935,-0.41238672,-0.41761637,-0.19156004,-0.30657607,-0.11991942,-0.32359985,-0.8391128,-2.6107714,3.3871634,3.387161,2.3841858e-06
64,5.997935,-0.06954572,-0.35446054,-0.07163256,-0.3121474,-0.29628226,-0.3657442,-0.35467717,-1.82449,4.1734447,4.173442,2.861023e-06
65,5.997935,-0.29614866,0.21087816,0.11843387,0.55290806,0.2505062,0.6919761,-0.09118242,1.4373713,7.435306,7.435306,0.0
66,5.997935,-0.32627305,0.123449445,0.2481619,0.33137518,0.3211047,0.57697445,0.25144595,1.5262387,7.5241737,7.5241747,9.536743e-07
67,5.997935,-0.341601,0.25107583,0.086900525,0.5386532,0.23182699,0.6546371,-0.11091938,1.3105732,7.308508,7.3085093,1.4305115e-06
68,5.997935,-0.102999836,0.2316982,0.10142452,0.7260789,0.253775,0.61771774,0.023548674,1.8512433,7.8491783,7.8491764,1.9073486e-06
69,5.997935,0.8506603,-0.078280486,-0.03517735,-0.04146413,-0.24552235,0.14731261,0.24042308,0.83795166,6.8358865,6.835888,1.4305115e-06
70,5.997935,0.8889164,0.0991216,-0.12756157,-0.35076123,-0.2439042,0.14777006,0.260103,0.673684,6.671619,6.671622,2.861023e-06
71,5.997935,0.1264179,0.18847695,-0.21253645,-0.48408595,-0.5590321,-0.031788763,-0.22286615,-1.1954145,4.8025203,4.80252,4.7683716e-07
72,5.997935,0.3934473,0.39074486,-0.085149415,-0.37276974,-0.31659225,-0.024286749,0.2943048,0.27969885,6.2776337,6.277634,4.7683716e-07
73,5.997935,0.39840665,0.38017347,-0.014319359,-0.09228388,-0.30147314,-0.009255334,0.38294762,0.74419606,6.7421308,6.7421308,0.0
74,5.997935,-0.48173875,-0.41791484,-0.11897356,-0.6283059,-0.47510067,-0.91410595,-0.6318179,-3.6679575,2.3299773,2.3299773,0.0
75,5.997935,-0.9872759,-0.3988196,-0.23302487,-0.6149414,-0.09438361,-0.1944757,-0.5386114,-3.0615325,2.9364023,2.9364047,2.3841858e-06
