model,seed,n_features,MSE_ln,MAE_ln,MSE_lg,MAE_lg,R2
M0_原始6特征,145,6,0.9106058401241324,0.6821177733908053,0.17175091281449897,0.29623998499175946,0.6428601280349782
M0_原始6特征,146,6,1.3520589692618876,0.8763170571686941,0.25501413665225814,0.3805796623260603,0.5652803701005724
M0_原始6特征,147,6,0.9214975181075289,0.7681056484821351,0.1738052106822514,0.33358404465451014,0.6310199523301647
M0_原始6特征,148,6,1.2361577558375294,0.8563697638848798,0.23315381210258468,0.37191666292399395,0.5891116323154338
M0_原始6特征,149,6,1.4241159003872208,0.8489589161358809,0.2686049167132562,0.3686981726403786,0.5363865118293307
M0_原始6特征,150,6,1.00832092029993,0.7120275994676579,0.19018111991008205,0.30922965741162256,0.6676348995340793
M0_原始6特征,151,6,1.195777027271172,0.7696886399443597,0.22553753436111865,0.3342715291114542,0.6066923479347162
M0_原始6特征,152,6,1.2621436247228406,0.85114918949899,0.2380550509313645,0.36964939627583654,0.5541580047173462
M0_原始6特征,153,6,1.4235105998905873,0.8576919069771733,0.26849074995938416,0.3724908623732635,0.505207725058823
M0_原始6特征,154,6,1.1763687792366182,0.8222122655631465,0.22187691176329913,0.3570822498872456,0.5943958620074479
M0_原始6特征,155,6,1.1524727500317498,0.7996173346384134,0.21736984114312982,0.3472693960676489,0.6300945652902318
M0_原始6特征,156,6,1.1034882492679492,0.8207624248022585,0.20813079132680268,0.3564525920451535,0.5324484607235533
M0_原始6特征,157,6,1.2084376971794346,0.7758661742637215,0.22792548479781993,0.336954398178121,0.4935576393264436
M0_原始6特征,158,6,0.8684914349884176,0.7188742095808716,0.16380764339321718,0.31220310240353427,0.6939964722885985
M0_原始6特征,159,6,0.8566717609612949,0.6766716814994662,0.16157831461683747,0.2938747773354129,0.719778809054189
M0_原始6特征,160,6,1.5384294874059221,0.8985759149078187,0.29016579635233825,0.3902465614156316,0.4802483679749113
M0_原始6特征,161,6,1.3328636341033273,0.8641744270923506,0.25139367191329537,0.3753061850881118,0.5974158775509035
M0_原始6特征,162,6,1.3389469164300538,0.8439480165709781,0.25254105011634,0.3665219666099699,0.4769498612614488
M0_原始6特征,163,6,0.8626248741583782,0.6965209168569374,0.16270114139944158,0.30249519072116154,0.7263533836163762
M0_原始6特征,164,6,1.066457552449686,0.775038248625121,0.20114636875838748,0.3365948346418506,0.6441439088470406
M0_原始6特征,165,6,1.3337777760213445,0.8483054278667506,0.25156608977176204,0.36841436629110674,0.5381879511980551
M0_原始6特征,166,6,0.9686700677733922,0.7181438594877463,0.18270250532709453,0.3118859153882324,0.684930467268378
M0_原始6特征,167,6,1.3950170597318012,0.8480047357161842,0.26311653499616694,0.3682837773493642,0.4607424595563413
M0_原始6特征,168,6,1.0844274972968118,0.7678189200677671,0.204535710551209,0.3334595200863452,0.5958635292287608
M0_原始6特征,169,6,0.989405427039281,0.7597216796688089,0.18661343662637933,0.32994293326243357,0.5925619230742329
M0_原始6特征,170,6,1.090227643015461,0.8396018571320744,0.20562968587811806,0.36463445354818225,0.6767556658894553
M0_原始6特征,171,6,0.9796587756918007,0.7567333244460196,0.18477510417555051,0.3286451070792094,0.6063726762310061
M0_原始6特征,172,6,1.2389602201938006,0.819416263003075,0.23368238966063554,0.35586796140401916,0.5024516973095969
M0_原始6特征,173,6,1.2005476755988973,0.8187661321362544,0.22643733443805653,0.355585613156044,0.6355523791049725
M0_原始6特征,174,6,1.1604973354393104,0.8270520759915727,0.21888337181466447,0.3591841528497689,0.6425407555928084
M0_原始6特征,175,6,1.0431485391064643,0.7651496937476931,0.19675001619605612,0.33230028982458615,0.5707653712792886
M0_原始6特征,176,6,1.1294981311761443,0.8036213981964713,0.21303655929257903,0.34900833877610327,0.6053199005602561
M0_原始6特征,177,6,0.8715801323802037,0.7048984317572926,0.1643902078498373,0.3061334992144481,0.6689982291368484
M0_原始6特征,178,6,1.2596144451747104,0.8069065919394107,0.2375780180847446,0.35043508029064496,0.5151074293993503
M0_原始6特征,179,6,0.9153522534242875,0.749501737717112,0.17264614188175972,0.32550446886744006,0.7269827255645973
M0_原始6特征,180,6,0.9071652991327321,0.7777035468943654,0.17110198653947295,0.3377523589728097,0.685344557113821
M0_原始6特征,181,6,1.012106169563829,0.7535332412761369,0.190895062197358,0.3272553286168979,0.670933124326859
M0_原始6特征,182,6,1.2321180178983233,0.8359767202719087,0.23239187027438882,0.36306007661366824,0.5581544617434696
M0_原始6特征,183,6,1.1727462520418086,0.8261105478614816,0.22119366076161537,0.35877525237831365,0.6211863859568157
M0_原始6特征,184,6,1.2615293496393787,0.8690322609132423,0.23793919146544082,0.37741591551052805,0.564352459437728
