model_row,Old_index_1,smiles,canonical_smiles,doi,compoundId,Solvent,selected_point_index,wavelength,TPACS,values_ln,elements
10,12,CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3cccnc3)cc(-c3cccnc3)c2)cc1,CAN:CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3cccnc3)cc(-c3cccnc3)c2)cc1,10.1016/j.saa.2017.07.057,A2,PBS-Triton,1,720.0,105.0,4.65396035,"C,H,N,O"
11,13,CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc1,CAN:CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc1,10.1016/j.saa.2017.07.057,A3,PBS-Triton,1,700.0,94.0,4.543294782,"C,H,N,O"
12,14,CCN(CC)c1ccc2cc(/C=N/NC(=S)SCc3ccccc3)c(=O)oc2c1,CAN:CCN(CC)c1ccc2cc(/C=N/NC(=S)SCc3ccccc3)c(=O)oc2c1,10.1016/j.snb.2016.10.032,-,DMSO,1,700.0,275.0,5.616771098,"C,H,N,O,S"
13,15,CN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,CAN:CN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,10.1016/j.dyepig.2016.09.012,Z1,DMF,0,710.0,1045.88,6.952613915,"C,H,N,O"
14,16,CCN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,CAN:CCN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,10.1016/j.dyepig.2016.09.012,Z2,DMF,0,710.0,3951.13,8.281756893,"C,H,N,O"
15,17,N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc([N+](=O)[O-])cc1,CAN:N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc([N+](=O)[O-])cc1,10.1016/j.dyepig.2016.09.012,Z3,DMF,0,740.0,7581.88,8.933516469,"C,H,N,O"
16,18,CN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,CAN:CN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,10.1016/j.dyepig.2016.09.012,L1,DMF,0,760.0,890.23,6.791479856,"C,H,N,O"
17,19,CCN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,CAN:CCN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,10.1016/j.dyepig.2016.09.012,L2,DMF,0,740.0,936.58,6.842234943,"C,H,N,O"
18,20,N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc(N)cc1,CAN:N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc(N)cc1,10.1016/j.dyepig.2016.09.012,L3,DMF,0,740.0,3790.94,8.240369288,"C,H,N,O"
19,21,CCCCCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(OCCCCCCCC)cc3)nc(-c3ccc(-c4ccc(-c5nc(/C=C/c6ccc(OCCCCCCCC)cc6)cc(/C=C/c6ccc(OCCCCCCCC)cc6)n5)s4)s3)n2)cc1,CAN:CCCCCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(OCCCCCCCC)cc3)nc(-c3ccc(-c4ccc(-c5nc(/C=C/c6ccc(OCCCCCCCC)cc6)cc(/C=C/c6ccc(OCCCCCCCC)cc6)n5)s4)s3)n2)cc1,10.1039/c7tc01266g,OSPB,THF,0,690.0,1352.0,7.209340257,"C,H,N,O,S"
